Company Name,Public/Private,Ticker,Industry,CIK
Open Text,Public,OTEX,Tech,0001002638
Host Hotels & Resorts,Public,HST,Real Estate,0001070750
99 Cents Only Stores,Public,NDN,Consumer/Retail,0001011290
Genesys Telecommunications Labs,Public,GCTI,Tech,0001577162
Clorox Company,Public,CLX,Consumer/Retail,0000021076
Brookfield Asset Management,Public,BAM,Real Estate,0001001085
eBay,Public,EBAY,Tech,0001065088
Kraft Heinz,Public,KHC,Consumer/Retail,0001637459
TAL International,Public,TAL,Transportation,0001331745
Verifone,Public,VFI,Tech,0000820580
Valeant Pharmaceuticals,Public,VRX,Healthcare,0000885590
RegionalCare Hospital,Private,,Healthcare,
Zimmer Holdings,Public,ZBH,Healthcare,0001136869
Vantage Data Centers,Private,,Real Estate,
Cardone Industries,Private,,Auto,
Abbott Laboratories,Public,ABT,Healthcare,0000001800
Tenet Healthcare,Public,THC,Healthcare,0000070318
Lightower Fiber Networks,Private,,CME,
Meritor,Public,MTOR,Auto,0001113256
High Liner Foods,Public,HLF CN,Consumer/Retail,
Brandywine Realty Trust,Public,BDN,Real Estate,0000790816
Highwoods Properties,Public,HIW,Real Estate,0000921082
Home Properties,Public,HME,Real Estate,0000923118
Lear Corp,Public,LEA,Auto,0000842162
Prestige Brands,Public,PBH,Consumer/Retail,0001295947
Cabela's,Public,CAB,Consumer/Retail,0001267130
Levi Strauss,Private,,Consumer/Retail,
World Courier Group,Private,,Transportation,
Vantage Specialties,Private,,Industrials,
Kroger,Public,KR,Consumer/Retail,0000056873
Biomet,Public,BMET,Healthcare,0001402366
Aviation Capital,Public,ACG,Leasing,
Transdigm,Public,TDG,Aerospace,0001260221
Huntsman,Public,HUN,Industrials,0001307954
Cubesmart,Public,CUBE,Real Estate,0001298675
DJO Global,Private,,Healthcare,
Telesat Canada,Private,,CME,
Prospect Medical,Public,PZZ,Healthcare,0001063561
Parkway Properties,Public,PKY,Real Estate,0000729237
KKR Natural Resources,Private,,Energy,
Snap-On Inc,Public,SNA,Industrials,0000091440
Colfax,Public,CFX,Industrials,0001420800
Demand Media,Public,DMD,CME,0001365038
WideOpenWest,Public,WOW,CME,
Hub International,Public,HBG,FIG,0001133016
Pinnacle,Private,,Tech,
Rentech Nitrogen,Public,RNF,Industrials,0001525998
Wilton Re,Private,,FIG,
Physio-Control,Private,,Healthcare,
Envision Healthcare,Private,,Healthcare,
Steward Health Care System,Private,,Healthcare,
Milacron,Public,MCRN,Industrials,0001637913
Sports Authority,Public,TSA,Consumer/Retail,0000912262
MacDermid Group,Public,MRD,Industrials,0001599222
Jazz Pharmaceuticals,Public,JAZZ,Healthcare,0001232524
Camp Systems,Private,,Aerospace,
NCI Building Systems,Public,NCS,Industrials,0000883902
MOSAID Technologies Inc,Private,,Tech,
BOP Metro Park LLC,Private,,Real Estate,
Cotiviti (formerly Connolly),Public,COTV,Healthcare,0001657197
Intelligrated,Private,,Industrials,
Neustar,Public,NSR,Tech,0001265888
Tank Holdings,Private,,Industrials,
Dollar Tree,Public,DLTR,Consumer/Retail,0000935703
WaveDivision Holdings,Private,,CME,
Consolidated Container,Private,,Transportation,
Cetera Financial Group,Private,,FIG,
Tandus,Private,,Industrials,
Textainer Group Holdings Ltd,Public,TGH,Leasing,0001413159
Health Care Properties,Public,HCP,Real Estate,0000765880
Total Systems Services,Public,TSS,Tech,0000721683
Wendy's,Public,WEN,Consumer/Retail,0000030697
Axiall,Public,AXLL,Industrials,0000805264
Garda World Security,Public,GW,Industrials,0000320186
Par Pharmaceutical,Public,PRX,Healthcare,0001559149
TRAC Intermodal,Private,,Transportation,
Amsted Industries,Private,,Transportation,
Landmark Aviation,Private,,Aerospace,
Serta Simmons,Public,AOTBED,Consumer/Retail,
Houghton International,Private,,Industrials,
Fly Leasing,Public,FLY,Leasing,0001407298
Cunningham Linsdey,Private,,FIG,
Sequa Automotive Group,Private,,Industrials,
FleetPride,Private,,Transportation,
Confie Seguros,Private,,FIG,
Insight Global,Private,,Tech,
Nuveen Investments,Private,,FIG,
KEYW Holding Corporation,Public,KEYW,Aerospace,0001487101
CNO Financial Group,Public,CNO,FIG,0001224608
Stanley Black and Decker,Public,SWK,Industrials,0000093556
Apex Tool Group,Private,,Industrials,
Ancestry.com,Public,ACOM,Tech,0001469433
Archstone Smith,Public,ASN,Real Estate,0001555218
AbbVie,Public,ABBV,Healthcare,0001551152
Therakos,Private,,Healthcare,
Metaldyne Performance Group,Public,MPG,Industrials,0001616817
Aircastle Limited,Public,AYR,Leasing,0001362988
Tronox,Public,TROX,Industrials,0001530804
Facebook,Public,FB,Tech,0001326801
Watco,Private,,Transportation,
Ply-Gem,Public,PGEM,Industrials,0001284807
Cequel Communications,Private,,CME,
Rayonier,Public,RYN,Industrials,0000052827
Alliant Holdings,Private,,FIG,
USI Insurance,Private,,FIG,
Zoetis,Public,ZTS,Healthcare,0001555280
Consolidated Precision Products,Private,,Aerospace,
Cleaver Brooks,Private,,Industrials,
Intermedia,Private,,CME,
Heartland Dental,Private,,Healthcare,
LMI Aerospace,Public,LMIA,Aerospace,0001059562
Renfro,Private,,Consumer/Retail,
Arris Group Inc,Public,ARRS,CME,0001645494
Accudyne,Private,,Industrials,
Sarnova,Private,,Healthcare,
Onex ATR,Private,,Leasing,
AerCap Holdings NV,Public,AER,Leasing,0001378789
Heinz,Public,HNZ,Consumer/Retail,0000046640
API Heat Transfer,Private,,Industrials,
Power Team Services,Private,,Industrials,
Cooper Gay Swett,Private,,FIG,
Livingston International,Private,,Transportation,
Duff & Phelps,Private,,Tech,
CSM Bakery,Private,,Consumer/Retail,
Allflex,Private,,Industrials,
Old Dominion Freight Line,Public,ODFL,Transportation,0000878927
TransUnion,Public,TRUN,CME,0001513514
CST Brands,Public,CST,Consumer/Retail,0001562039
Computer Sciences Corp,Public,CSC,Tech,0000023082
Fly Acquisition II Limited,Public,FLY,Leasing,0001407298
CoreLogic,Public,CLGX,Tech,0000036047
Synagro Technologies,Private,,Industrials,
Boulder Brands,Public,BDBD,Consumer/Retail,0001331301
Emerald Expositions,Private,,CME,
General Dynamics,Public,GD,Aerospace,0000040533
Gardner Denver,Private,,Industrials,
Trident USA,Private,,Healthcare,
Guggenheim Partners,Private,,FIG,
United States Infrastructure Corporation,Private,,Industrials,
National Financial Partners,Public,NFP,FIG,0001183186
MedSolutions,Private,,Healthcare,
Continental Building Products,Public,CBPX,Industrials,0001592480
Sequa Corporation,Public,SQA,Aerospace,
Mitchell International,Private,,Tech,
Amgen,Public,AMGN,Healthcare,0000318154
Verisk,Public,VRSK,Tech,0001442145
Westway,Public,WWAY,Industrials,0001361872
Global Sea Containers,Public,CRNS,Leasing,0000919869
KraussMaffei,Private,,Industrials,
Sensus Metering Systems,Private,,Industrials,
Active Network,Public,ACTV,Tech,0001163932
Eastman Chemical,Public,EMN,Industrials,0000915389
Omnitracs,Private,,Tech,
Norcraft,Public,NCFT,Industrials,0001582616
International Business Machines,Public,IBM,Tech,0000051143
Fanatics,Private,,Tech,
OneCall Care Management,Private,,Healthcare,
Campbell Soup,Public,CPB,Consumer/Retail,0000016732
GlobalLogic,Private,,Tech,
Brickman Group,Private,,Industrials,
Utility Services Associates,Private,,Industrials,
"Townsquare Media, LLC",Public,TSQ,CME,0001499832
North American Lifting Holdings,Private,,Industrials,
Western Digital Corp,Public,WDC,Tech,0000106040
Seastar Solutions,Private,,Industrials,
Evoqua Water Technologies,Private,,Industrials,
Power Products LLC,Private,,Industrials,
Broadcom,Public,BRCM,Tech,0001054374
AmeriLife,Private,,FIG,
Global Atlantic Financial Group,Private,,FIG,
Bob's Discount Furniture,Private,,Consumer/Retail,
IMG,Private,,CME,
Atrium Innovations,Private,,Consumer/Retail,
CareCore National Services,Private,,Healthcare,
Aramark,Public,ARMK,Tech,0001584509
On Assignment,Public,ASGN,CME,0000890564
Ports America,Private,,Infrastructure,
Microsemi,Public,MSCC,Tech,0000310568
Ennis Flint,Private,,Industrials,
Innovative Aftermarket Services,Private,,FIG,
Vencore,Private,,Aerospace,
Neiman Marcus,Public,NMG,Consumer/Retail,0001644147
Anchor Glass Container,Private,,Industrials,
AssuredPartners,Private,,FIG,
Long Term Care Group,Public,IAS,FIG,0001073615
CDW Corporation,Public,CDW,Tech,0001402057
RidgeWorth Capital Management,Private,,FIG,
Waypoint,Private,,Leasing,
ServiceMaster,Public,SERV,Tech,0001428875
Solenis,Private,,Industrials,
Emerald Performance Materials,Private,,Industrials,
Quorum Business Solutions,Private,,Tech,
Bed Bath & Beyond,Public,BBBY,Consumer/Retail,0000886158
Element Materials Technology,Private,,Tech,
Restaurant Brands,Public,BKC,Consumer/Retail,0001352801
Halyard Health,Public,HYH,Healthcare,0001606498
Sealed Air Corporation,Public,SEE,Industrials,0001012100
Jupiter Resources,Private,,Energy,
York Risk Services,Private,,FIG,
Jeld-Wen,Private,,Industrials,
ProQuest,Private,,CME,
Creganna-Tactx Medical,Private,,Healthcare,
Q Holdings,Private,,Industrials,
Distribution International,Private,,Industrials,
First Advantage Corporation,Public,FADV,Tech,0001210677
Presidio,Private,,Tech,
Royalty Pharma,Private,,Healthcare,
CRGT,Private,,Aerospace,
Impax Laboratories,Public,IPXL,Healthcare,0001003642
Exact Business Software,Private,,Tech,
BroadStreet Partners,Private,,FIG,
Dupont,Public,DD,Industrials,0000030554
Anthem,Public,ANTM,Healthcare,0001156039
Oasis Outsourcing,Private,,Tech,
NXT Capital,Private,,FIG,
Angus Chemical,Private,,Industrials,
Indiana Toll Road,Private,,Infrastructure,
Qualcomm,Public,QCOM,Tech,0000804328
Forterra Building Products,Private,,Industrials,
Boyd Corp,Public,BYD,Industrials,0000906553
Informatica,Public,INFA,Tech,0001080099
PepsiCo,Public,PEP,Consumer/Retail,0000077476
United Health,Public,UNH,Healthcare,0000731766
Cognizant Technology Solutions,Public,CTSH,Tech,0001058290
Mirion Technologies,Public,MION,Industrials,0001465763
Cirque du Soleil,Private,,CME,
Harsco,Public,HSC,Industrials,0000045876
Aspen Dental,Private,,Healthcare,
American Beacon Advisors,Private,,FIG,
Guitar Center,Public,GTRC,Consumer/Retail,0001021113
CF Industries,Public,CF,Industrials,0001324404
Patterson Companies,Public,PDCO,Healthcare,0000891024
Chemours Company,Public,CC,Industrials,0001627223
Landmark Infrastructure Partners,Public,LMRK,Real Estate,0001615346
Estee Lauder,Public,EL,Consumer/Retail,0001001250
Intel Corporation,Public,INTC,Tech,0000050863
ViaSat,Public,VSAT,Aerospace,0000797721
PDC Brands,Private,,Consumer/Retail,
U.S. Shipping,Public,USSPQ,Transportation,0001299716
CareCentrix,Private,,Healthcare,
Petsmart,Private,,Consumer/Retail,
Pet Supplies Plus,Private,,Consumer/Retail,
Nellson Nutraceuticals,Private,,Consumer/Retail,
Jo-Ann Stores,Private,,Consumer/Retail,
5.11 Inc,Private,,Consumer/Retail,
Murphy USA,Public,MUSA,Consumer/Retail,0001573516
Summit Materials,Public,SUM,Industrials,0001621563
Jack's Family Restaurants,Private,,Consumer/Retail,
Nu Skin Enterprises Inc,Public,NUS,Consumer/Retail,0001021561
United Rentals,Public,URI,Industrials,0001067701
Drummond Company,Private,,Industrials,
Infiltrator Systems,Private,,Industrials,
John Bean Technologies,Public,JBT,Industrials,0001433660
Novelis (Hindalco),Private,,Industrials,
SunCoke Energy,Public,SXC,Industrials,0001514705
Husky International,Private,,Industrials,
Gypsum Management and Supply,Public,GMS,Industrials,
Installed Building Products,Public,IBP,Industrials,0001580905
Mannington Mills,Private,,Industrials,
Avolon,Public,AVOL,Leasing,0001610128
Progressive Solutions,Private,,Healthcare,
Claire's Stores Inc,Private,,Consumer/Retail,
Helen of Troy,Public,HELE,Consumer/Retail,0000916789
Cast & Crew Entertainment,Private,,Tech,
ProAmpac,Private,,Industrials,
Agree Realty Corp,Public,ADC,Real Estate,0000917251
AV Homes Inc,Public,AVHI,Real Estate,0000039677
Brixmor Property Group,Public,BRX,Real Estate,0001581068
Caretrust REIT,Public,CTRE,Real Estate,0001590717
Chambers Street Properties,Public,CSG,Real Estate,0001297587
DDR Corp,Public,DDR,Real Estate,0000894315
Lennar,Public,LEN,Real Estate,0000920760
MedEquities,Public,MDQZZ,Real Estate,0001616314
MEPT Edgemoor LP,Private,,Real Estate,
Meritage Homes,Public,MTH,Real Estate,0000833079
Milestone,Public,MST-U CN,Real Estate,
Omega Healthcare Investors,Public,OHI,Real Estate,0000888491
Paramount Group,Public,PGRE,Real Estate,0001605607
Phillips Edison Grocery Center,Public,PDRG,Real Estate,0001581405
Physicians Realty Trust,Public,DOC,Real Estate,0001574540
Realty Income,Public,O,Real Estate,0000726728
Rouse Properties,Public,RSE,Real Estate,0001528558
Select Income REIT,Public,SIR,Real Estate,0001537667
Sun Communities,Public,SUI,Real Estate,0000912593
WPT Industrial REIT,Public,WPTIF,Real Estate,
Whitestone REIT,Public,WSR,Real Estate,0001175535
Westfield,Public,WFD,Real Estate,0001157647
Iron Mountain,Public,IRM,Real Estate,0001020569
LaSalle Hotels,Public,LHO,Real Estate,0001053532
National Storage Affiliates,Public,NSA,Real Estate,0001618563
Omni,Private,,Real Estate,
US Shipping Corp,Public,USSPQ,Transportation,0001299716
Protection 1,Private,,Industrials,
